,Normalized_Current_Speed,Normalized_Height,Moon Illuminated,Cluster
69,0.7735849056603775,0.8689138576779027,0.0,1
70,0.7924528301886794,0.9082397003745319,0.01,1
71,0.7924528301886794,0.9213483146067418,0.06,1
72,0.7735849056603775,0.9007490636704121,0.13,1
73,0.7169811320754716,0.8333333333333333,0.21,1
74,0.6226415094339622,0.7247191011235956,0.31,1
75,0.5094339622641512,0.5823970037453183,0.41,2
76,0.37735849056603776,0.5280898876404494,0.52,2
77,0.30188679245283034,0.5767790262172283,0.62,2
78,0.39622641509433987,0.6329588014981273,0.71,2
79,0.4905660377358493,0.6666666666666665,0.79,0
80,0.5283018867924528,0.6760299625468165,0.87,0
81,0.5283018867924528,0.6685393258426966,0.92,0
82,0.5094339622641512,0.657303370786517,0.97,0
83,0.5283018867924528,0.6554307116104867,0.99,0
84,0.5660377358490566,0.6610486891385767,1.0,0
85,0.6037735849056606,0.6629213483146068,0.99,0
86,0.6415094339622643,0.6516853932584268,0.96,0
87,0.69811320754717,0.6217228464419475,0.92,0
88,0.7358490566037738,0.5767790262172283,0.86,0
89,0.7169811320754716,0.5243445692883895,0.78,0
90,0.6415094339622643,0.5000000000000002,0.69,0
91,0.5283018867924528,0.39138576779026235,0.59,2
92,0.41509433962264153,0.5074906367041199,0.48,2
93,0.358490566037736,0.5580524344569286,0.37,2
94,0.4528301886792455,0.6217228464419475,0.26,2
95,0.5849056603773587,0.6853932584269662,0.17,1
96,0.69811320754717,0.747191011235955,0.09,1
97,0.7924528301886794,0.8014981273408239,0.03,1
98,0.8301886792452832,0.842696629213483,0.0,1
99,0.849056603773585,0.8576779026217227,0.0,1
100,0.849056603773585,0.837078651685393,0.04,1
101,0.8301886792452832,0.7752808988764044,0.09,1
102,0.7547169811320756,0.7097378277153559,0.17,1
103,0.6415094339622643,0.6591760299625469,0.26,1
104,0.4528301886792455,0.3820224719101124,0.35,2
105,0.28301886792452835,0.6179775280898876,0.45,2
106,0.3207547169811321,0.6029962546816479,0.55,2
107,0.37735849056603776,0.6029962546816479,0.65,2
108,0.41509433962264153,0.6067415730337078,0.74,2
109,0.4339622641509434,0.6048689138576777,0.82,0
110,0.4528301886792455,0.6029962546816479,0.88,0
111,0.4905660377358493,0.6029962546816479,0.94,0
112,0.5660377358490566,0.6048689138576777,0.97,0
113,0.6415094339622643,0.601123595505618,1.0,0
114,0.7169811320754716,0.6086142322097376,1.0,0
115,0.7924528301886794,0.6591760299625469,0.98,0
116,0.849056603773585,0.6835205992509361,0.95,0
117,0.849056603773585,0.6797752808988764,0.89,0
118,0.7924528301886794,0.657303370786517,0.82,0
119,0.6415094339622643,0.6348314606741572,0.73,0
120,0.4528301886792455,0.28838951310861427,0.63,2
121,0.3207547169811321,0.6329588014981273,0.52,2
122,0.37735849056603776,0.657303370786517,0.4,2
123,0.4905660377358493,0.696629213483146,0.29,1
124,0.6226415094339622,0.7434456928838951,0.19,1
125,0.7358490566037738,0.7865168539325842,0.11,1
126,0.8301886792452832,0.8183520599250935,0.05,1
127,0.8867924528301888,0.8258426966292134,0.01,1
128,0.9056603773584907,0.8014981273408239,0.0,1
129,0.8867924528301888,0.8239700374531835,0.02,1
130,0.8301886792452832,0.8220973782771535,0.06,1
131,0.7169811320754716,0.7865168539325842,0.13,1
132,0.5471698113207549,0.7340823970037456,0.21,1
133,0.339622641509434,0.6835205992509361,0.3,2
134,0.30188679245283034,0.12172284644194775,0.39,2
135,0.28301886792452835,0.6441947565543071,0.49,2
136,0.2641509433962266,0.6217228464419475,0.58,2
137,0.2641509433962266,0.6086142322097376,0.67,2
138,0.30188679245283034,0.6029962546816479,0.76,2
139,0.39622641509433987,0.5992509363295881,0.83,0
140,0.5094339622641512,0.5936329588014984,0.9,0
141,0.6226415094339622,0.5842696629213484,0.95,0
142,0.7547169811320756,0.6235955056179774,0.98,0
143,0.849056603773585,0.7003745318352059,1.0,0
144,0.9056603773584907,0.7490636704119848,0.99,0
145,0.9056603773584907,0.7715355805243445,0.96,0
146,0.849056603773585,0.7752808988764044,0.92,0
147,0.7547169811320756,0.7696629213483146,0.85,0
148,0.5849056603773587,0.7640449438202246,0.76,0
149,0.39622641509433987,0.7677902621722847,0.66,2
150,0.41509433962264153,0.12734082397003732,0.55,2
151,0.4528301886792455,0.7808988764044944,0.43,2
152,0.5283018867924528,0.7996254681647941,0.32,1
153,0.6226415094339622,0.8164794007490637,0.22,1
154,0.7547169811320756,0.8220973782771535,0.13,1
155,0.849056603773585,0.8108614232209737,0.06,1
156,0.9245283018867924,0.7771535580524342,0.02,1
157,0.9245283018867924,0.8239700374531835,0.0,1
158,0.8679245283018869,0.848314606741573,0.01,1
159,0.7358490566037738,0.8352059925093631,0.04,1
160,0.5849056603773587,0.803370786516854,0.09,1
161,0.41509433962264153,0.7640449438202246,0.16,1
162,0.28301886792452835,0.7284644194756553,0.24,2
163,0.07547169811320764,0.696629213483146,0.33,2
164,0.2264150943396227,0.0,0.42,2
165,0.18867924528301894,0.6704119850187265,0.51,2
166,0.20754716981132093,0.6479400749063671,0.61,2
167,0.28301886792452835,0.6235955056179774,0.7,2
168,0.39622641509433987,0.5992509363295881,0.78,2
169,0.5471698113207549,0.5767790262172283,0.86,0
170,0.69811320754717,0.5861423220973783,0.92,0
171,0.8113207547169813,0.6853932584269662,0.97,0
172,0.8867924528301888,0.7509363295880152,0.99,0
173,0.9056603773584907,0.792134831460674,1.0,0
174,0.849056603773585,0.8183520599250935,0.98,0
175,0.7735849056603775,0.8352059925093631,0.93,0
176,0.6603773584905662,0.848314606741573,0.87,0
177,0.5660377358490566,0.859550561797753,0.78,0
178,0.5283018867924528,0.8651685393258426,0.68,0
179,0.24528301886792458,0.8614232209737829,0.57,2
180,0.5094339622641512,0.09737827715355807,0.45,2
181,0.5283018867924528,0.8445692883895133,0.34,1
182,0.6226415094339622,0.8146067415730338,0.24,1
183,0.7547169811320756,0.7715355805243445,0.15,1
184,0.849056603773585,0.7191011235955058,0.08,1
185,0.8679245283018869,0.7827715355805245,0.03,1
186,0.8301886792452832,0.8146067415730338,0.01,1
187,0.7169811320754716,0.8108614232209737,0.0,1
188,0.5660377358490566,0.792134831460674,0.02,1
189,0.4528301886792455,0.7696629213483146,0.06,1
190,0.39622641509433987,0.7509363295880152,0.12,1
191,0.339622641509434,0.7340823970037456,0.18,1
192,0.30188679245283034,0.7134831460674156,0.26,2
193,0.2641509433962266,0.6835205992509361,0.35,2
194,0.0,0.6404494382022474,0.44,2
195,0.2641509433962266,0.05243445692883908,0.54,2
196,0.3207547169811321,0.5898876404494382,0.63,2
197,0.4339622641509434,0.5430711610486891,0.72,2
198,0.5849056603773587,0.5074906367041199,0.81,0
199,0.69811320754717,0.6161048689138577,0.88,0
200,0.7924528301886794,0.6928838951310861,0.94,0
201,0.8113207547169813,0.747191011235955,0.98,0
202,0.7924528301886794,0.7865168539325842,1.0,0
203,0.7358490566037738,0.8202247191011236,0.99,0
204,0.6603773584905662,0.8520599250936327,0.95,0
205,0.69811320754717,0.8764044943820226,0.89,0
