,Current_Speed_(knots),Latitude,Longitude,Moon Illuminated,clusters,cluster
6105,4.7,48.40572205,-122.6449002,0.86,0,blue
6108,4.0,48.40572205,-122.6449002,0.86,0,blue
6111,7.0,48.40572205,-122.6449002,0.92,1,orange
6114,5.1,48.40572205,-122.6449002,0.92,1,orange
6117,4.9,48.40572205,-122.6449002,0.92,0,blue
6120,4.0,48.40572205,-122.6449002,0.92,0,blue
6123,7.6,48.40572205,-122.6449002,0.97,1,orange
6126,5.9,48.40572205,-122.6449002,0.97,1,orange
6129,5.1,48.40572205,-122.6449002,0.97,1,orange
6132,3.8,48.40572205,-122.6449002,0.99,0,blue
6135,8.0,48.40572205,-122.6449002,0.99,1,orange
6138,6.6,48.40572205,-122.6449002,0.99,1,orange
6141,5.3,48.40572205,-122.6449002,0.99,1,orange
6144,3.4,48.40572205,-122.6449002,1.0,0,blue
6147,8.1,48.40572205,-122.6449002,1.0,1,orange
6150,7.0,48.40572205,-122.6449002,1.0,1,orange
6153,5.5,48.40572205,-122.6449002,1.0,1,orange
6156,3.1,48.40572205,-122.6449002,0.98,0,blue
6159,7.8,48.40572205,-122.6449002,0.98,1,orange
6162,7.2,48.40572205,-122.6449002,0.98,1,orange
6165,5.8,48.40572205,-122.6449002,0.98,1,orange
6168,3.0,48.40572205,-122.6449002,0.93,0,blue
6171,7.4,48.40572205,-122.6449002,0.93,1,orange
6174,7.1,48.40572205,-122.6449002,0.93,1,orange
6177,6.2,48.40572205,-122.6449002,0.93,1,orange
6180,3.1,48.40572205,-122.6449002,0.87,0,blue
6183,6.8,48.40572205,-122.6449002,0.87,1,orange
6186,6.6,48.40572205,-122.6449002,0.87,1,orange
6189,6.3,48.40572205,-122.6449002,0.87,1,orange
6192,3.2,48.40572205,-122.6449002,0.78,0,blue
6195,6.1,48.40572205,-122.6449002,0.78,1,orange
6198,6.0,48.40572205,-122.6449002,0.78,1,orange
6201,6.3,48.40572205,-122.6449002,0.78,1,orange
6204,3.2,48.40572205,-122.6449002,0.68,0,blue
6207,5.3,48.40572205,-122.6449002,0.68,1,orange
6210,5.2,48.40572205,-122.6449002,0.68,1,orange
6213,6.1,48.40572205,-122.6449002,0.68,1,orange
6216,3.1,48.40572205,-122.6449002,0.57,0,blue
6219,4.6,48.40572205,-122.6449002,0.57,0,blue
6222,4.6,48.40572205,-122.6449002,0.57,0,blue
6225,6.0,48.40572205,-122.6449002,0.45,1,orange
6228,3.1,48.40572205,-122.6449002,0.45,0,blue
6231,4.3,48.40572205,-122.6449002,0.45,0,blue
6234,4.4,48.40572205,-122.6449002,0.45,0,blue
6237,6.1,48.40572205,-122.6449002,0.34,1,orange
6240,3.7,48.40572205,-122.6449002,0.34,0,blue
6243,4.5,48.40572205,-122.6449002,0.34,0,blue
6246,4.6,48.40572205,-122.6449002,0.34,0,blue
6249,6.6,48.40572205,-122.6449002,0.24,1,orange
