,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
299,0.6,,,0.98,Weak Current
300,,9.0,0.28,0.98,
301,0.0,,,0.94,No Current
302,0.2,,,0.94,Weak Current
303,0.0,,,0.94,No Current
304,,366.0,12.0,0.94,
305,0.2,,,0.94,Weak Current
306,0.0,,,0.94,No Current
307,,179.0,5.88,0.94,
308,0.1,,,0.94,Weak Current
309,0.0,,,0.94,No Current
310,,289.0,9.48,0.94,
311,0.5,,,0.94,Weak Current
312,,16.0,0.51,0.89,
313,0.0,,,0.89,No Current
314,0.2,,,0.89,Weak Current
315,0.0,,,0.89,No Current
316,,366.0,12.0,0.89,
317,0.2,,,0.89,Weak Current
318,0.0,,,0.89,No Current
319,,158.0,5.17,0.89,
320,0.1,,,0.89,Weak Current
321,0.0,,,0.89,No Current
322,,277.0,9.1,0.89,
323,0.5,,,0.82,Weak Current
324,,48.0,1.57,0.82,
325,0.0,,,0.82,No Current
326,0.2,,,0.82,Weak Current
327,,365.0,11.96,0.82,
328,0.0,,,0.82,No Current
329,0.3,,,0.82,Weak Current
330,,134.0,4.4,0.82,
331,0.0,,,0.82,No Current
332,0.0,,,0.82,No Current
333,,265.0,8.7,0.82,
334,0.3,,,0.74,Weak Current
335,,88.0,2.89,0.74,
336,0.0,,,0.74,No Current
337,0.1,,,0.74,Weak Current
338,,360.0,11.82,0.74,
339,0.0,,,0.74,No Current
340,0.4,,,0.74,Weak Current
341,,110.0,3.6,0.74,
342,0.0,,,0.74,No Current
343,,255.0,8.36,0.74,
344,0.0,,,0.74,No Current
345,0.2,,,0.66,Weak Current
346,,134.0,4.38,0.66,
347,0.0,,,0.66,No Current
348,0.1,,,0.66,Weak Current
349,,352.0,11.56,0.66,
350,0.0,,,0.66,No Current
351,0.4,,,0.66,Weak Current
352,,86.0,2.82,0.66,
353,0.0,,,0.66,No Current
354,,250.0,8.19,0.66,
355,0.0,,,0.66,No Current
356,0.1,,,0.56,Weak Current
357,,181.0,5.95,0.56,
358,0.0,,,0.56,No Current
359,0.1,,,0.56,Weak Current
360,,342.0,11.21,0.56,
361,0.0,,,0.56,No Current
362,0.5,,,0.56,Weak Current
363,,63.0,2.06,0.56,
364,0.0,,,0.56,No Current
365,0.1,,,0.56,Weak Current
366,0.0,,,0.56,No Current
367,,255.0,8.36,0.56,
368,,227.0,7.45,0.47,
369,0.0,,,0.47,No Current
370,0.1,,,0.47,Weak Current
371,,331.0,10.85,0.47,
372,0.0,,,0.47,No Current
373,0.5,,,0.47,Weak Current
374,,39.0,1.29,0.47,
375,0.0,,,0.47,No Current
376,0.1,,,0.47,Weak Current
377,0.0,,,0.36,No Current
378,,276.0,9.06,0.36,
379,,265.0,8.69,0.36,
380,0.0,,,0.36,No Current
381,0.1,,,0.36,Weak Current
382,0.0,,,0.36,No Current
383,,321.0,10.54,0.36,
384,0.6,,,0.36,Weak Current
385,,14.0,0.46,0.36,
386,0.0,,,0.36,No Current
387,0.2,,,0.36,Weak Current
388,0.0,,,0.27,No Current
389,,307.0,10.07,0.27,
390,0.0,,,0.27,No Current
391,,283.0,9.29,0.27,
392,0.1,,,0.27,Weak Current
393,0.0,,,0.27,No Current
394,,316.0,10.38,0.27,
395,0.6,,,0.27,Weak Current
396,,13.0,0.44,0.27,
397,0.0,,,0.27,No Current
398,0.2,,,0.27,Weak Current
399,0.0,,,0.18,No Current
400,,333.0,10.91,0.18,
401,0.0,,,0.18,No Current
402,,281.0,9.22,0.18,
403,0.1,,,0.18,Weak Current
404,0.0,,,0.18,No Current
405,,318.0,10.44,0.18,
406,0.6,,,0.18,Weak Current
407,,41.0,1.35,0.18,
408,0.0,,,0.18,No Current
409,0.2,,,0.18,Weak Current
410,0.0,,,0.1,No Current
411,,351.0,11.52,0.1,
412,0.1,,,0.1,Weak Current
413,0.0,,,0.1,No Current
