,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
7990,0.0,,,0.08,No Current
7991,,201.0,6.61,0.08,
7992,4.0,,,0.08,Strong Current
7993,0.0,,,0.08,No Current
7994,,295.0,9.67,0.08,
7995,6.2,,,0.08,Strong Current
7996,0.0,,,0.08,No Current
7997,,9.0,0.31,0.08,
7998,4.4,,,0.08,Strong Current
7999,0.0,,,0.04,No Current
8000,,292.0,9.57,0.04,
8001,4.9,,,0.04,Strong Current
8002,0.0,,,0.04,No Current
8003,,220.0,7.21,0.04,
8004,4.3,,,0.04,Strong Current
8005,0.0,,,0.04,No Current
8006,,291.0,9.54,0.04,
8007,6.9,,,0.04,Strong Current
8008,0.0,,,0.04,No Current
8009,,30.0,1.0,0.04,
8010,5.0,,,0.04,Strong Current
8011,0.0,,,0.01,No Current
8012,,308.0,10.1,0.01,
8013,5.0,,,0.01,Strong Current
8014,0.0,,,0.01,No Current
8015,,233.0,7.65,0.01,
8016,4.3,,,0.01,Strong Current
8017,0.0,,,0.01,No Current
8018,,287.0,9.41,0.01,
8019,7.5,,,0.01,Strong Current
8020,0.0,,,0.01,No Current
8021,,47.0,1.54,0.01,
8022,5.7,,,0.01,Strong Current
8023,0.0,,,0.0,No Current
8024,,319.0,10.47,0.0,
8025,5.1,,,0.0,Strong Current
8026,0.0,,,0.0,No Current
8027,,242.0,7.94,0.0,
8028,3.9,,,0.0,Strong Current
8029,0.0,,,0.0,No Current
8030,,283.0,9.28,0.0,
8031,7.8,,,0.0,Strong Current
8032,0.0,,,0.0,No Current
8033,,58.0,1.9,0.0,
8034,6.3,,,0.01,Strong Current
8035,0.0,,,0.01,No Current
8036,,326.0,10.69,0.01,
8037,5.2,,,0.01,Strong Current
8038,0.0,,,0.01,No Current
8039,,247.0,8.1,0.01,
8040,3.5,,,0.01,Strong Current
8041,0.0,,,0.01,No Current
8042,,279.0,9.14,0.01,
8043,7.8,,,0.01,Strong Current
8044,0.0,,,0.01,No Current
8045,,63.0,2.08,0.01,
8046,6.8,,,0.05,Strong Current
8047,0.0,,,0.05,No Current
8048,,329.0,10.79,0.05,
8049,5.4,,,0.05,Strong Current
8050,0.0,,,0.05,No Current
8051,,247.0,8.12,0.05,
8052,3.0,,,0.05,Strong Current
8053,0.0,,,0.05,No Current
8054,,274.0,8.98,0.05,
8055,7.6,,,0.05,Strong Current
8056,0.0,,,0.05,No Current
8057,,63.0,2.06,0.1,
8058,7.0,,,0.1,Strong Current
8059,0.0,,,0.1,No Current
8060,,329.0,10.81,0.1,
8061,5.6,,,0.1,Strong Current
8062,0.0,,,0.1,No Current
8063,,244.0,8.01,0.1,
8064,2.7,,,0.1,Strong Current
8065,0.0,,,0.1,No Current
8066,,266.0,8.73,0.1,
8067,7.1,,,0.1,Strong Current
8068,0.0,,,0.1,No Current
8069,,55.0,1.81,0.17,
8070,6.9,,,0.17,Strong Current
8071,0.0,,,0.17,No Current
8072,,329.0,10.8,0.17,
8073,5.8,,,0.17,Strong Current
8074,0.0,,,0.17,No Current
8075,,235.0,7.71,0.17,
8076,2.5,,,0.17,Strong Current
8077,0.0,,,0.17,No Current
8078,,254.0,8.34,0.17,
8079,6.3,,,0.17,Strong Current
8080,0.0,,,0.26,No Current
8081,,39.0,1.29,0.26,
8082,6.3,,,0.26,Strong Current
8083,0.0,,,0.26,No Current
8084,,329.0,10.79,0.26,
8085,5.8,,,0.26,Strong Current
8086,0.0,,,0.26,No Current
8087,,218.0,7.14,0.26,
8088,2.4,,,0.26,Strong Current
8089,0.0,,,0.26,No Current
8090,,237.0,7.79,0.26,
8091,5.4,,,0.26,Strong Current
8092,0.0,,,0.36,No Current
8093,,13.0,0.43,0.36,
8094,5.5,,,0.36,Strong Current
8095,0.0,,,0.36,No Current
8096,,329.0,10.81,0.36,
8097,5.7,,,0.36,Strong Current
8098,0.0,,,0.36,No Current
8099,,189.0,6.19,0.36,
8100,2.5,,,0.36,Strong Current
8101,0.0,,,0.36,No Current
8102,,219.0,7.2,0.36,
8103,4.5,,,0.36,Strong Current
8104,0.0,,,0.47,No Current
8105,,23.0,0.77,0.47,
8106,4.7,,,0.47,Strong Current
8107,0.0,,,0.47,No Current
8108,,331.0,10.86,0.47,
8109,5.6,,,0.47,Strong Current
8110,0.0,,,0.47,No Current
8111,,148.0,4.84,0.47,
8112,2.7,,,0.47,Strong Current
8113,0.0,,,0.47,No Current
8114,,209.0,6.85,0.47,
8115,4.1,,,0.58,Strong Current
8116,0.0,,,0.58,No Current
8117,,68.0,2.22,0.58,
8118,4.3,,,0.58,Strong Current
8119,0.0,,,0.58,No Current
8120,,333.0,10.94,0.58,
8121,5.9,,,0.58,Strong Current
8122,0.0,,,0.58,No Current
8123,,97.0,3.19,0.58,
8124,3.2,,,0.58,Strong Current
8125,0.0,,,0.58,No Current
8126,,215.0,7.04,0.69,
8127,4.2,,,0.69,Strong Current
8128,0.0,,,0.69,No Current
8129,,116.0,3.79,0.69,
8130,4.3,,,0.69,Strong Current
8131,0.0,,,0.69,No Current
8132,,336.0,11.02,0.69,
8133,6.4,,,0.69,Strong Current
8134,0.0,,,0.69,No Current
8135,,43.0,1.42,0.69,
8136,4.0,,,0.69,Strong Current
8137,0.0,,,0.69,No Current
8138,,238.0,7.81,0.79,
8139,4.6,,,0.79,Strong Current
8140,0.0,,,0.79,No Current
8141,,160.0,5.24,0.79,
8142,4.7,,,0.79,Strong Current
8143,0.0,,,0.79,No Current
8144,,337.0,11.07,0.79,
8145,7.1,,,0.79,Strong Current
8146,0.0,,,0.79,No Current
8147,,8.0,0.26,0.79,
8148,4.9,,,0.79,Strong Current
8149,0.0,,,0.88,No Current
8150,,271.0,8.9,0.88,
8151,5.2,,,0.88,Strong Current
8152,0.0,,,0.88,No Current
8153,,196.0,6.42,0.88,
8154,5.1,,,0.88,Strong Current
8155,0.0,,,0.88,No Current
8156,,337.0,11.05,0.88,
8157,7.8,,,0.88,Strong Current
8158,0.0,,,0.88,No Current
8159,,51.0,1.67,0.88,
8160,5.7,,,0.88,Strong Current
8161,0.0,,,0.94,No Current
8162,,304.0,9.96,0.94,
8163,5.6,,,0.94,Strong Current
8164,0.0,,,0.94,No Current
8165,,220.0,7.23,0.94,
8166,5.4,,,0.94,Strong Current
8167,0.0,,,0.94,No Current
8168,,334.0,10.95,0.94,
8169,8.4,,,0.94,Strong Current
8170,0.0,,,0.94,No Current
8171,,81.0,2.67,0.94,
8172,6.3,,,0.94,Strong Current
8173,0.0,,,0.98,No Current
8174,,328.0,10.77,0.98,
8175,5.8,,,0.98,Strong Current
8176,0.0,,,0.98,No Current
8177,,234.0,7.69,0.98,
8178,5.3,,,0.98,Strong Current
8179,0.0,,,0.98,No Current
8180,,327.0,10.73,0.98,
8181,8.6,,,0.98,Strong Current
8182,0.0,,,0.98,No Current
8183,,97.0,3.19,0.98,
8184,6.7,,,1.0,Strong Current
8185,0.0,,,1.0,No Current
8186,,343.0,11.26,1.0,
8187,6.0,,,1.0,Strong Current
8188,0.0,,,1.0,No Current
8189,,240.0,7.86,1.0,
8190,4.8,,,1.0,Strong Current
8191,0.0,,,1.0,No Current
8192,,317.0,10.41,1.0,
8193,8.3,,,1.0,Strong Current
8194,0.0,,,1.0,No Current
8195,,99.0,3.26,1.0,
8196,6.9,,,0.99,Strong Current
8197,0.0,,,0.99,No Current
8198,,349.0,11.45,0.99,
8199,6.2,,,0.99,Strong Current
8200,0.0,,,0.99,No Current
8201,,238.0,7.8,0.99,
8202,4.2,,,0.99,Strong Current
8203,0.0,,,0.99,No Current
8204,,304.0,9.99,0.99,
8205,7.8,,,0.99,Strong Current
8206,0.0,,,0.99,No Current
8207,,90.0,2.95,0.99,
8208,6.7,,,0.95,Strong Current
8209,0.0,,,0.95,No Current
8210,,348.0,11.42,0.95,
8211,6.3,,,0.95,Strong Current
8212,0.0,,,0.95,No Current
8213,,231.0,7.57,0.95,
8214,3.7,,,0.95,Strong Current
8215,0.0,,,0.95,No Current
8216,,289.0,9.47,0.95,
8217,6.9,,,0.95,Strong Current
8218,0.0,,,0.95,No Current
8219,,71.0,2.34,0.89,
8220,6.2,,,0.89,Strong Current
8221,0.0,,,0.89,No Current
8222,,343.0,11.26,0.89,
8223,6.2,,,0.89,Strong Current
8224,0.0,,,0.89,No Current
8225,,220.0,7.21,0.89,
8226,3.3,,,0.89,Strong Current
8227,0.0,,,0.89,No Current
8228,,270.0,8.86,0.89,
8229,6.0,,,0.89,Strong Current
8230,0.0,,,0.82,No Current
8231,,45.0,1.48,0.82,
8232,5.4,,,0.82,Strong Current
8233,0.0,,,0.82,No Current
8234,,337.0,11.05,0.82,
8235,5.8,,,0.82,Strong Current
8236,0.0,,,0.82,No Current
8237,,205.0,6.71,0.82,
8238,2.9,,,0.82,Strong Current
8239,0.0,,,0.82,No Current
8240,,249.0,8.17,0.82,
8241,5.0,,,0.82,Strong Current
8242,0.0,,,0.74,No Current
8243,,12.0,0.4,0.74,
8244,4.5,,,0.74,Strong Current
8245,0.0,,,0.74,No Current
8246,,330.0,10.84,0.74,
8247,5.2,,,0.74,Strong Current
8248,0.0,,,0.74,No Current
8249,,185.0,6.07,0.74,
8250,2.6,,,0.74,Strong Current
8251,0.0,,,0.74,No Current
8252,,227.0,7.46,0.74,
8253,4.1,,,0.74,Strong Current
8254,0.0,,,0.65,No Current
8255,,27.0,0.88,0.65,
8256,3.5,,,0.65,Strong Current
8257,0.0,,,0.65,No Current
8258,,324.0,10.63,0.65,
8259,4.6,,,0.65,Strong Current
8260,0.0,,,0.65,No Current
8261,,160.0,5.25,0.65,
8262,2.4,,,0.65,Strong Current
8263,0.0,,,0.65,No Current
8264,,208.0,6.83,0.65,
8265,3.3,,,0.65,Strong Current
8266,0.0,,,0.56,No Current
8267,,71.0,2.33,0.56,
8268,2.8,,,0.56,Strong Current
8269,0.0,,,0.56,No Current
8270,,318.0,10.44,0.56,
8271,4.2,,,0.56,Strong Current
8272,0.0,,,0.56,No Current
8273,,131.0,4.29,0.56,
8274,2.2,,,0.56,Strong Current
8275,0.0,,,0.56,No Current
8276,,198.0,6.48,0.56,
8277,3.2,,,0.46,Strong Current
8278,0.0,,,0.46,No Current
8279,,118.0,3.88,0.46,
8280,2.5,,,0.46,Strong Current
8281,0.0,,,0.46,No Current
8282,,312.0,10.23,0.46,
8283,4.1,,,0.46,Strong Current
8284,0.0,,,0.46,No Current
8285,,99.0,3.24,0.46,
8286,2.3,,,0.46,Strong Current
8287,0.0,,,0.46,No Current
8288,,202.0,6.64,0.37,
8289,3.4,,,0.37,Strong Current
8290,0.0,,,0.37,No Current
8291,,165.0,5.4,0.37,
8292,2.6,,,0.37,Strong Current
8293,0.0,,,0.37,No Current
8294,,305.0,10.02,0.37,
8295,4.4,,,0.37,Strong Current
8296,0.0,,,0.37,No Current
8297,,66.0,2.18,0.37,
8298,2.6,,,0.37,Strong Current
8299,0.0,,,0.37,No Current
8300,,225.0,7.39,0.28,
8301,3.8,,,0.28,Strong Current
8302,0.0,,,0.28,No Current
8303,,205.0,6.71,0.28,
8304,3.0,,,0.28,Strong Current
8305,0.0,,,0.28,No Current
8306,,299.0,9.81,0.28,
8307,4.9,,,0.28,Strong Current
8308,0.0,,,0.28,No Current
8309,,36.0,1.19,0.28,
8310,3.2,,,0.28,Strong Current
8311,0.0,,,0.2,No Current
8312,,256.0,8.39,0.2,
8313,4.2,,,0.2,Strong Current
8314,0.0,,,0.2,No Current
8315,,233.0,7.63,0.2,
8316,3.4,,,0.2,Strong Current
8317,0.0,,,0.2,No Current
8318,,293.0,9.61,0.2,
8319,5.7,,,0.2,Strong Current
8320,0.0,,,0.2,No Current
8321,,9.0,0.29,0.2,
8322,3.9,,,0.2,Strong Current
8323,0.0,,,0.13,No Current
8324,,283.0,9.3,0.13,
8325,4.6,,,0.13,Strong Current
8326,0.0,,,0.13,No Current
8327,,248.0,8.14,0.13,
8328,3.8,,,0.13,Strong Current
8329,0.0,,,0.13,No Current
8330,,288.0,9.45,0.13,
8331,6.5,,,0.13,Strong Current
8332,0.0,,,0.13,No Current
8333,,15.0,0.49,0.13,
8334,4.7,,,0.13,Strong Current
8335,0.0,,,0.07,No Current
8336,4.9,,,0.07,Strong Current
8337,,305.0,10.0,0.07,
8338,0.0,,,0.07,No Current
8339,,255.0,8.38,0.07,
8340,3.9,,,0.07,Strong Current
8341,0.0,,,0.07,No Current
8342,,285.0,9.35,0.07,
8343,7.2,,,0.07,Strong Current
8344,0.0,,,0.07,No Current
8345,,35.0,1.16,0.07,
8346,5.6,,,0.07,Strong Current
8347,0.0,,,0.03,No Current
8348,,319.0,10.47,0.03,
8349,5.1,,,0.03,Strong Current
8350,0.0,,,0.03,No Current
8351,,258.0,8.45,0.03,
8352,3.7,,,0.03,Strong Current
8353,0.0,,,0.03,No Current
8354,,284.0,9.32,0.03,
8355,7.6,,,0.03,Strong Current
8356,0.0,,,0.03,No Current
8357,,52.0,1.7,0.03,
8358,6.4,,,0.03,Strong Current
8359,0.0,,,0.01,No Current
8360,,328.0,10.77,0.01,
8361,5.4,,,0.01,Strong Current
8362,0.0,,,0.01,No Current
8363,,256.0,8.39,0.01,
8364,3.4,,,0.01,Strong Current
8365,0.0,,,0.01,No Current
8366,,284.0,9.33,0.01,
8367,7.7,,,0.01,Strong Current
8368,0.0,,,0.01,No Current
8369,,64.0,2.1,0.01,
8370,6.9,,,0.0,Strong Current
8371,0.0,,,0.0,No Current
8372,,334.0,10.96,0.0,
8373,5.7,,,0.0,Strong Current
8374,0.0,,,0.0,No Current
8375,,250.0,8.2,0.0,
8376,3.2,,,0.0,Strong Current
8377,0.0,,,0.0,No Current
8378,,285.0,9.34,0.0,
8379,7.5,,,0.0,Strong Current
8380,0.0,,,0.0,No Current
8381,,73.0,2.4,0.0,
8382,0.0,,,0.75,No Current
8383,0.7,,,0.75,Weak Current
8384,,223.0,7.33,0.75,
8385,0.0,,,0.75,No Current
8386,1.0,,,0.75,Weak Current
8387,,147.0,4.81,0.75,
8388,,144.0,4.71,0.75,
8389,0.1,,,0.75,Weak Current
8390,,40.0,1.32,0.67,
8391,0.8,,,0.67,Weak Current
8392,0.0,,,0.67,No Current
8393,0.4,,,0.67,Weak Current
8394,,221.0,7.25,0.67,
8395,0.0,,,0.67,No Current
8396,1.2,,,0.67,Strong Current
8397,,122.0,4.01,0.67,
8398,,129.0,4.22,0.67,
8399,0.0,,,0.67,No Current
8400,,73.0,2.4,0.58,
8401,0.5,,,0.58,Weak Current
8402,0.0,,,0.58,No Current
8403,0.3,,,0.58,Weak Current
8404,,219.0,7.18,0.58,
8405,0.0,,,0.58,No Current
8406,1.3,,,0.58,Strong Current
8407,,95.0,3.13,0.58,
8408,,121.0,3.96,0.58,
8409,0.0,,,0.58,No Current
8410,0.2,,,0.58,Weak Current
8411,0.0,,,0.48,No Current
8412,,109.0,3.58,0.48,
8413,0.4,,,0.48,Weak Current
8414,0.0,,,0.48,No Current
8415,,217.0,7.12,0.48,
8416,0.0,,,0.48,No Current
8417,1.5,,,0.48,Strong Current
8418,,67.0,2.19,0.48,
8419,0.0,,,0.48,No Current
8420,0.5,,,0.48,Weak Current
8421,,132.0,4.34,0.48,
8422,0.0,,,0.39,No Current
8423,,145.0,4.77,0.39,
8424,0.6,,,0.39,Weak Current
8425,,215.0,7.06,0.39,
8426,0.0,,,0.39,No Current
8427,1.7,,,0.39,Strong Current
8428,,38.0,1.24,0.39,
8429,0.0,,,0.39,No Current
8430,0.7,,,0.39,Weak Current
8431,,162.0,5.3,0.29,
8432,0.0,,,0.29,No Current
8433,,179.0,5.86,0.29,
8434,0.8,,,0.29,Weak Current
8435,,214.0,7.03,0.29,
8436,0.0,,,0.29,No Current
8437,1.8,,,0.29,Strong Current
8438,,9.0,0.3,0.29,
8439,0.0,,,0.29,No Current
8440,1.0,,,0.29,Weak Current
8441,,188.0,6.16,0.2,
8442,0.0,,,0.2,No Current
8443,,203.0,6.67,0.2,
8444,1.0,,,0.2,Weak Current
8445,,215.0,7.04,0.2,
8446,0.0,,,0.2,No Current
8447,2.0,,,0.2,Strong Current
8448,,18.0,0.58,0.2,
8449,0.0,,,0.2,No Current
8450,1.4,,,0.2,Strong Current
8451,,208.0,6.84,0.13,
8452,0.0,,,0.13,No Current
8453,,218.0,7.16,0.13,
8454,1.1,,,0.13,Strong Current
8455,,216.0,7.09,0.13,
8456,0.0,,,0.13,No Current
8457,2.1,,,0.13,Strong Current
8458,,42.0,1.39,0.13,
8459,0.0,,,0.13,No Current
8460,1.6,,,0.13,Strong Current
8461,,223.0,7.31,0.06,
8462,0.0,,,0.06,No Current
8463,,225.0,7.38,0.06,
8464,1.2,,,0.06,Strong Current
8465,,219.0,7.17,0.06,
8466,0.0,,,0.06,No Current
8467,0.0,,,0.06,No Current
8468,2.2,,,0.06,Strong Current
8469,,63.0,2.06,0.06,
8470,0.0,,,0.06,No Current
8471,1.6,,,0.02,Strong Current
8472,,232.0,7.61,0.02,
8473,0.0,,,0.02,No Current
8474,,225.0,7.37,0.02,
8475,1.1,,,0.02,Strong Current
8476,,220.0,7.23,0.02,
8477,0.0,,,0.02,No Current
8478,0.2,,,0.02,Weak Current
8479,0.0,,,0.02,No Current
8480,2.3,,,0.02,Strong Current
8481,,77.0,2.54,0.02,
8482,0.0,,,0.02,No Current
8483,1.6,,,0.0,Strong Current
8484,,237.0,7.76,0.0,
8485,0.0,,,0.0,No Current
8486,,219.0,7.17,0.0,
8487,1.1,,,0.0,Strong Current
8488,0.0,,,0.0,No Current
8489,,220.0,7.22,0.0,
8490,0.4,,,0.0,Weak Current
8491,0.0,,,0.0,No Current
8492,2.3,,,0.0,Strong Current
8493,,84.0,2.75,0.0,
8494,0.0,,,0.0,No Current
8495,1.4,,,0.01,Strong Current
8496,,239.0,7.83,0.01,
8497,0.0,,,0.01,No Current
8498,,207.0,6.79,0.01,
8499,1.0,,,0.01,Weak Current
8500,0.0,,,0.01,No Current
8501,,215.0,7.07,0.01,
8502,0.6,,,0.01,Weak Current
8503,0.0,,,0.01,No Current
8504,2.2,,,0.01,Strong Current
8505,,80.0,2.62,0.01,
8506,0.0,,,0.05,No Current
8507,1.2,,,0.05,Strong Current
8508,,239.0,7.84,0.05,
8509,0.0,,,0.05,No Current
8510,,189.0,6.2,0.05,
8511,1.0,,,0.05,Weak Current
8512,0.0,,,0.05,No Current
8513,,205.0,6.72,0.05,
8514,0.6,,,0.05,Weak Current
8515,0.0,,,0.05,No Current
8516,2.0,,,0.05,Strong Current
8517,,64.0,2.09,0.05,
8518,0.0,,,0.11,No Current
8519,1.0,,,0.11,Weak Current
8520,,239.0,7.85,0.11,
8521,0.0,,,0.11,No Current
8522,1.1,,,0.11,Strong Current
8523,,165.0,5.42,0.11,
8524,0.0,,,0.11,No Current
8525,0.6,,,0.11,Weak Current
8526,,188.0,6.18,0.11,
8527,0.0,,,0.11,No Current
8528,1.7,,,0.11,Strong Current
8529,,35.0,1.16,0.11,
8530,0.0,,,0.2,No Current
8531,0.8,,,0.2,Weak Current
8532,,239.0,7.85,0.2,
8533,0.0,,,0.2,No Current
8534,1.3,,,0.2,Strong Current
8535,,135.0,4.43,0.2,
8536,0.0,,,0.2,No Current
8537,0.6,,,0.2,Weak Current
8538,,169.0,5.53,0.2,
8539,0.0,,,0.2,No Current
8540,1.3,,,0.2,Strong Current
8541,,4.0,0.13,0.2,
8542,0.0,,,0.3,No Current
8543,0.7,,,0.3,Weak Current
8544,,239.0,7.84,0.3,
8545,0.0,,,0.3,No Current
8546,1.6,,,0.3,Strong Current
8547,,101.0,3.3,0.3,
8548,0.0,,,0.3,No Current
8549,0.5,,,0.3,Weak Current
8550,,149.0,4.9,0.3,
8551,0.0,,,0.3,No Current
8552,0.8,,,0.3,Weak Current
8553,,51.0,1.68,0.41,
8554,0.0,,,0.41,No Current
8555,0.5,,,0.41,Weak Current
8556,,237.0,7.79,0.41,
8557,0.0,,,0.41,No Current
8558,1.8,,,0.41,Strong Current
8559,,65.0,2.13,0.41,
8560,0.0,,,0.41,No Current
8561,0.6,,,0.41,Weak Current
8562,,139.0,4.57,0.41,
8563,0.0,,,0.41,No Current
8564,,101.0,3.32,0.52,
8565,0.6,,,0.52,Weak Current
8566,0.0,,,0.52,No Current
8567,0.3,,,0.52,Weak Current
8568,,235.0,7.7,0.52,
8569,0.0,,,0.52,No Current
8570,2.0,,,0.52,Strong Current
8571,,32.0,1.04,0.52,
8572,0.0,,,0.52,No Current
8573,0.7,,,0.52,Weak Current
8574,,150.0,4.92,0.52,
8575,0.0,,,0.52,No Current
8576,,148.0,4.86,0.63,
8577,0.7,,,0.63,Weak Current
8578,0.0,,,0.63,No Current
8579,,230.0,7.54,0.63,
8580,0.2,,,0.63,Weak Current
8581,0.0,,,0.63,No Current
8582,2.1,,,0.63,Strong Current
8583,,5.0,0.15,0.63,
8584,0.0,,,0.63,No Current
8585,1.0,,,0.63,Weak Current
8586,,178.0,5.85,0.73,
8587,0.0,,,0.73,No Current
8588,,186.0,6.1,0.73,
8589,0.9,,,0.73,Weak Current
8590,0.0,,,0.73,No Current
8591,,223.0,7.33,0.73,
8592,0.2,,,0.73,Weak Current
8593,0.0,,,0.73,No Current
8594,2.1,,,0.73,Strong Current
8595,,15.0,0.5,0.73,
8596,0.0,,,0.73,No Current
8597,1.3,,,0.73,Strong Current
8598,,205.0,6.71,0.82,
8599,0.0,,,0.82,No Current
8600,,208.0,6.84,0.82,
8601,1.2,,,0.82,Strong Current
8602,0.0,,,0.82,No Current
8603,,216.0,7.1,0.82,
8604,0.3,,,0.82,Weak Current
8605,0.0,,,0.82,No Current
8606,2.1,,,0.82,Strong Current
8607,,27.0,0.9,0.82,
8608,0.0,,,0.82,No Current
8609,1.5,,,0.82,Strong Current
8610,,223.0,7.3,0.89,
8611,0.0,,,0.89,No Current
8612,,215.0,7.06,0.89,
8613,1.4,,,0.89,Strong Current
8614,,209.0,6.86,0.89,
8615,0.0,,,0.89,No Current
8616,0.4,,,0.89,Weak Current
8617,0.0,,,0.89,No Current
8618,2.0,,,0.89,Strong Current
8619,,34.0,1.1,0.89,
8620,0.0,,,0.89,No Current
8621,1.6,,,0.89,Strong Current
8622,,232.0,7.61,0.94,
8623,0.0,,,0.94,No Current
8624,1.5,,,0.94,Strong Current
8625,,212.0,6.96,0.94,
8626,0.0,,,0.94,No Current
8627,,203.0,6.67,0.94,
8628,0.4,,,0.94,Weak Current
8629,0.0,,,0.94,No Current
8630,2.0,,,0.94,Strong Current
8631,,35.0,1.15,0.94,
8632,0.0,,,0.94,No Current
8633,1.6,,,0.98,Strong Current
8634,,235.0,7.7,0.98,
8635,0.0,,,0.98,No Current
8636,1.5,,,0.98,Strong Current
8637,,205.0,6.71,0.98,
8638,0.0,,,0.98,No Current
8639,,198.0,6.51,0.98,
8640,0.4,,,0.98,Weak Current
8641,0.0,,,0.98,No Current
8642,1.9,,,0.98,Strong Current
8643,,34.0,1.1,0.98,
8644,0.0,,,0.98,No Current
8645,1.5,,,1.0,Strong Current
8646,,233.0,7.64,1.0,
8647,0.0,,,1.0,No Current
8648,1.4,,,1.0,Strong Current
8649,,194.0,6.38,1.0,
8650,0.0,,,1.0,No Current
8651,,194.0,6.38,1.0,
8652,0.4,,,1.0,Weak Current
8653,0.0,,,1.0,No Current
8654,1.8,,,1.0,Strong Current
8655,,29.0,0.94,1.0,
8656,0.0,,,1.0,No Current
8657,1.3,,,1.0,Strong Current
8658,,229.0,7.51,1.0,
8659,0.0,,,1.0,No Current
8660,1.3,,,1.0,Strong Current
8661,,183.0,5.99,1.0,
8662,0.0,,,1.0,No Current
8663,,189.0,6.2,1.0,
8664,0.3,,,1.0,Weak Current
8665,0.0,,,1.0,No Current
8666,1.7,,,1.0,Strong Current
8667,,20.0,0.67,1.0,
8668,0.0,,,0.98,No Current
8669,1.1,,,0.98,Strong Current
8670,,225.0,7.39,0.98,
8671,0.0,,,0.98,No Current
8672,1.3,,,0.98,Strong Current
8673,,169.0,5.53,0.98,
8674,0.0,,,0.98,No Current
8675,,182.0,5.96,0.98,
8676,0.2,,,0.98,Weak Current
8677,0.0,,,0.98,No Current
8678,1.4,,,0.98,Strong Current
8679,,7.0,0.24,0.98,
8680,0.0,,,0.94,No Current
8681,1.0,,,0.94,Weak Current
8682,,223.0,7.3,0.94,
8683,0.0,,,0.94,No Current
8684,1.3,,,0.94,Strong Current
8685,,152.0,5.0,0.94,
8686,0.0,,,0.94,No Current
8687,,172.0,5.64,0.94,
8688,0.1,,,0.94,Weak Current
8689,0.0,,,0.94,No Current
8690,1.1,,,0.94,Strong Current
8691,,12.0,0.39,0.94,
8692,0.0,,,0.89,No Current
8693,0.8,,,0.89,Weak Current
8694,,221.0,7.25,0.89,
8695,0.0,,,0.89,No Current
8696,1.3,,,0.89,Strong Current
8697,,134.0,4.38,0.89,
8698,0.0,,,0.89,No Current
8699,,161.0,5.28,0.89,
8700,0.0,,,0.89,No Current
8701,0.8,,,0.89,Weak Current
8702,,37.0,1.22,0.89,
8703,0.0,,,0.82,No Current
8704,0.6,,,0.82,Weak Current
8705,,220.0,7.21,0.82,
8706,0.0,,,0.82,No Current
8707,1.4,,,0.82,Strong Current
8708,,113.0,3.7,0.82,
8709,0.0,,,0.82,No Current
8710,,150.0,4.91,0.82,
8711,0.0,,,0.82,No Current
8712,,68.0,2.22,0.82,
8713,0.5,,,0.82,Weak Current
8714,0.0,,,0.74,No Current
8715,0.3,,,0.74,Weak Current
8716,,219.0,7.17,0.74,
8717,0.0,,,0.74,No Current
8718,1.5,,,0.74,Strong Current
8719,,91.0,2.97,0.74,
8720,0.0,,,0.74,No Current
8721,,141.0,4.61,0.74,
8722,0.2,,,0.74,Weak Current
8723,0.0,,,0.74,No Current
8724,,102.0,3.34,0.74,
8725,0.4,,,0.66,Weak Current
8726,0.0,,,0.66,No Current
8727,,216.0,7.08,0.66,
8728,0.0,,,0.66,No Current
8729,1.5,,,0.66,Strong Current
8730,,68.0,2.23,0.66,
8731,0.0,,,0.66,No Current
8732,0.4,,,0.66,Weak Current
8733,,137.0,4.51,0.66,
8734,0.4,,,0.66,Weak Current
8735,0.0,,,0.56,No Current
8736,,137.0,4.49,0.56,
8737,0.4,,,0.56,Weak Current
8738,0.2,,,0.56,Weak Current
8739,,213.0,6.98,0.56,
8740,1.6,,,0.56,Strong Current
8741,,46.0,1.5,0.56,
8742,0.0,,,0.56,No Current
8743,0.7,,,0.56,Weak Current
8744,0.0,,,0.47,No Current
8745,0.7,,,0.47,Weak Current
8746,,210.0,6.88,0.47,
8747,0.4,,,0.47,Weak Current
8748,1.7,,,0.47,Strong Current
8749,,24.0,0.78,0.47,
8750,0.0,,,0.47,No Current
8751,1.0,,,0.47,Weak Current
8752,0.0,,,0.36,No Current
8753,0.9,,,0.36,Weak Current
8754,,208.0,6.83,0.36,
8755,0.4,,,0.36,Weak Current
8756,1.9,,,0.36,Strong Current
8757,,2.0,0.06,0.36,
8758,0.0,,,0.36,No Current
8759,1.2,,,0.36,Strong Current
8760,,198.0,6.51,0.27,
8761,0.0,,,0.27,No Current
8762,,217.0,7.12,0.27,
8763,1.1,,,0.27,Strong Current
8764,,208.0,6.83,0.27,
8765,0.3,,,0.27,Weak Current
8766,2.0,,,0.27,Strong Current
8767,,20.0,0.65,0.27,
8768,0.0,,,0.27,No Current
8769,1.4,,,0.27,Strong Current
8770,,212.0,6.96,0.18,
8771,0.0,,,0.18,No Current
8772,,222.0,7.28,0.18,
8773,1.1,,,0.18,Strong Current
8774,,209.0,6.86,0.18,
8775,0.0,,,0.18,No Current
8776,2.2,,,0.18,Strong Current
8777,,40.0,1.32,0.18,
8778,0.0,,,0.18,No Current
8779,1.5,,,0.18,Strong Current
