,Height (ft),Latitude,Longitude,Moon Illuminated,clusters,cluster
4568,10.25,48.40572205,-122.6449002,0.1,1,orange
4571,8.37,48.40572205,-122.6449002,0.1,1,orange
4574,9.53,48.40572205,-122.6449002,0.1,1,orange
4577,-2.03,48.40572205,-122.6449002,0.1,0,blue
4580,10.64,48.40572205,-122.6449002,0.04,1,orange
4583,7.76,48.40572205,-122.6449002,0.04,1,orange
4586,9.84,48.40572205,-122.6449002,0.04,1,orange
4589,-2.52,48.40572205,-122.6449002,0.04,0,blue
4592,10.94,48.40572205,-122.6449002,0.01,1,orange
4595,6.94,48.40572205,-122.6449002,0.01,1,orange
4598,10.07,48.40572205,-122.6449002,0.01,1,orange
4601,-2.6,48.40572205,-122.6449002,0.01,0,blue
4604,11.18,48.40572205,-122.6449002,0.0,1,orange
4607,5.91,48.40572205,-122.6449002,0.0,1,orange
4610,10.12,48.40572205,-122.6449002,0.0,1,orange
4613,-2.16,48.40572205,-122.6449002,0.0,0,blue
4616,11.38,48.40572205,-122.6449002,0.03,1,orange
4619,4.73,48.40572205,-122.6449002,0.03,1,orange
4622,9.94,48.40572205,-122.6449002,0.03,1,orange
4625,-1.19,48.40572205,-122.6449002,0.08,0,blue
4628,11.53,48.40572205,-122.6449002,0.08,1,orange
4631,3.5,48.40572205,-122.6449002,0.08,0,blue
4634,9.56,48.40572205,-122.6449002,0.08,1,orange
4637,0.27,48.40572205,-122.6449002,0.16,0,blue
4640,11.56,48.40572205,-122.6449002,0.16,1,orange
4643,2.36,48.40572205,-122.6449002,0.16,0,blue
4646,9.06,48.40572205,-122.6449002,0.16,1,orange
4649,2.07,48.40572205,-122.6449002,0.26,0,blue
4652,11.41,48.40572205,-122.6449002,0.26,1,orange
4655,1.42,48.40572205,-122.6449002,0.26,0,blue
4658,8.58,48.40572205,-122.6449002,0.26,1,orange
4661,4.02,48.40572205,-122.6449002,0.36,0,blue
4664,11.06,48.40572205,-122.6449002,0.36,1,orange
4667,0.77,48.40572205,-122.6449002,0.36,0,blue
4670,8.29,48.40572205,-122.6449002,0.36,1,orange
4673,5.87,48.40572205,-122.6449002,0.47,1,orange
4676,10.51,48.40572205,-122.6449002,0.47,1,orange
4679,0.4,48.40572205,-122.6449002,0.47,0,blue
4682,8.44,48.40572205,-122.6449002,0.58,1,orange
4685,7.36,48.40572205,-122.6449002,0.58,1,orange
4688,9.84,48.40572205,-122.6449002,0.58,1,orange
4691,0.23,48.40572205,-122.6449002,0.58,0,blue
4694,9.11,48.40572205,-122.6449002,0.68,1,orange
4697,8.05,48.40572205,-122.6449002,0.68,1,orange
4700,9.19,48.40572205,-122.6449002,0.68,1,orange
4703,0.12,48.40572205,-122.6449002,0.68,0,blue
4706,9.81,48.40572205,-122.6449002,0.77,1,orange
4709,7.81,48.40572205,-122.6449002,0.77,1,orange
4712,8.73,48.40572205,-122.6449002,0.77,1,orange
4715,-0.01,48.40572205,-122.6449002,0.77,0,blue
4718,10.26,48.40572205,-122.6449002,0.84,1,orange
4721,7.25,48.40572205,-122.6449002,0.84,1,orange
4724,8.55,48.40572205,-122.6449002,0.84,1,orange
4727,-0.14,48.40572205,-122.6449002,0.84,0,blue
4730,10.45,48.40572205,-122.6449002,0.91,1,orange
4733,6.67,48.40572205,-122.6449002,0.91,1,orange
4736,8.58,48.40572205,-122.6449002,0.91,1,orange
4739,-0.21,48.40572205,-122.6449002,0.91,0,blue
4742,10.44,48.40572205,-122.6449002,0.96,1,orange
4745,6.14,48.40572205,-122.6449002,0.96,1,orange
4748,8.68,48.40572205,-122.6449002,0.96,1,orange
4751,-0.17,48.40572205,-122.6449002,0.96,0,blue
4754,10.35,48.40572205,-122.6449002,0.99,1,orange
4757,5.62,48.40572205,-122.6449002,0.99,1,orange
4760,8.75,48.40572205,-122.6449002,0.99,1,orange
4763,0.05,48.40572205,-122.6449002,0.99,0,blue
4766,10.28,48.40572205,-122.6449002,1.0,1,orange
4769,5.05,48.40572205,-122.6449002,1.0,1,orange
4772,8.77,48.40572205,-122.6449002,1.0,1,orange
4775,0.46,48.40572205,-122.6449002,1.0,0,blue
4778,10.27,48.40572205,-122.6449002,0.99,1,orange
4781,4.39,48.40572205,-122.6449002,0.99,0,blue
4784,8.74,48.40572205,-122.6449002,0.99,1,orange
4787,1.1,48.40572205,-122.6449002,0.97,0,blue
4790,10.3,48.40572205,-122.6449002,0.97,1,orange
4793,3.65,48.40572205,-122.6449002,0.97,0,blue
4796,8.68,48.40572205,-122.6449002,0.97,1,orange
4799,1.95,48.40572205,-122.6449002,0.93,0,blue
4802,10.31,48.40572205,-122.6449002,0.93,1,orange
4805,2.88,48.40572205,-122.6449002,0.93,0,blue
4808,8.58,48.40572205,-122.6449002,0.93,1,orange
4811,3.0,48.40572205,-122.6449002,0.88,0,blue
4814,10.23,48.40572205,-122.6449002,0.88,1,orange
4817,2.17,48.40572205,-122.6449002,0.88,0,blue
4820,8.47,48.40572205,-122.6449002,0.88,1,orange
4823,4.18,48.40572205,-122.6449002,0.81,0,blue
4826,10.03,48.40572205,-122.6449002,0.81,1,orange
4829,1.57,48.40572205,-122.6449002,0.81,0,blue
4832,8.35,48.40572205,-122.6449002,0.81,1,orange
4835,5.42,48.40572205,-122.6449002,0.73,1,orange
4838,9.74,48.40572205,-122.6449002,0.73,1,orange
4841,1.13,48.40572205,-122.6449002,0.73,0,blue
4844,8.23,48.40572205,-122.6449002,0.73,1,orange
4847,6.62,48.40572205,-122.6449002,0.63,1,orange
4850,9.39,48.40572205,-122.6449002,0.63,1,orange
4853,0.82,48.40572205,-122.6449002,0.63,0,blue
4856,8.21,48.40572205,-122.6449002,0.63,1,orange
4858,7.7,48.40572205,-122.6449002,0.53,1,orange
4862,9.03,48.40572205,-122.6449002,0.53,1,orange
4865,0.56,48.40572205,-122.6449002,0.53,0,blue
4868,8.48,48.40572205,-122.6449002,0.43,1,orange
4871,8.44,48.40572205,-122.6449002,0.43,1,orange
4874,8.71,48.40572205,-122.6449002,0.43,1,orange
4877,0.2,48.40572205,-122.6449002,0.43,0,blue
4880,9.05,48.40572205,-122.6449002,0.32,1,orange
4883,8.48,48.40572205,-122.6449002,0.32,1,orange
4886,8.52,48.40572205,-122.6449002,0.32,1,orange
4889,-0.32,48.40572205,-122.6449002,0.32,0,blue
4892,9.58,48.40572205,-122.6449002,0.22,1,orange
4895,7.95,48.40572205,-122.6449002,0.22,1,orange
4898,8.65,48.40572205,-122.6449002,0.22,1,orange
4901,-0.92,48.40572205,-122.6449002,0.22,0,blue
4904,10.0,48.40572205,-122.6449002,0.13,1,orange
4907,7.11,48.40572205,-122.6449002,0.13,1,orange
4910,9.03,48.40572205,-122.6449002,0.13,1,orange
4913,-1.37,48.40572205,-122.6449002,0.13,0,blue
4916,10.35,48.40572205,-122.6449002,0.06,1,orange
4919,6.01,48.40572205,-122.6449002,0.06,1,orange
4922,9.47,48.40572205,-122.6449002,0.06,1,orange
4925,-1.47,48.40572205,-122.6449002,0.06,0,blue
4928,10.66,48.40572205,-122.6449002,0.02,1,orange
4931,4.71,48.40572205,-122.6449002,0.02,1,orange
4934,9.82,48.40572205,-122.6449002,0.02,1,orange
4937,-1.09,48.40572205,-122.6449002,0.02,0,blue
4940,10.93,48.40572205,-122.6449002,0.0,1,orange
4943,3.28,48.40572205,-122.6449002,0.0,0,blue
4946,10.01,48.40572205,-122.6449002,0.0,1,orange
4949,-0.22,48.40572205,-122.6449002,0.01,0,blue
4952,11.14,48.40572205,-122.6449002,0.01,1,orange
4955,1.88,48.40572205,-122.6449002,0.01,0,blue
4958,10.02,48.40572205,-122.6449002,0.01,1,orange
4961,1.06,48.40572205,-122.6449002,0.06,0,blue
4964,11.21,48.40572205,-122.6449002,0.06,1,orange
4967,0.68,48.40572205,-122.6449002,0.06,0,blue
4970,9.89,48.40572205,-122.6449002,0.06,1,orange
4973,2.6,48.40572205,-122.6449002,0.13,0,blue
4976,11.1,48.40572205,-122.6449002,0.13,1,orange
4979,-0.17,48.40572205,-122.6449002,0.13,0,blue
4982,9.66,48.40572205,-122.6449002,0.13,1,orange
4985,4.22,48.40572205,-122.6449002,0.21,0,blue
4988,10.74,48.40572205,-122.6449002,0.21,1,orange
4991,-0.58,48.40572205,-122.6449002,0.21,0,blue
4994,9.37,48.40572205,-122.6449002,0.21,1,orange
4997,5.72,48.40572205,-122.6449002,0.31,1,orange
5000,10.16,48.40572205,-122.6449002,0.31,1,orange
5003,-0.54,48.40572205,-122.6449002,0.31,0,blue
5006,9.14,48.40572205,-122.6449002,0.31,1,orange
5009,6.95,48.40572205,-122.6449002,0.41,1,orange
5012,9.4,48.40572205,-122.6449002,0.41,1,orange
5015,-0.16,48.40572205,-122.6449002,0.41,0,blue
5018,9.11,48.40572205,-122.6449002,0.52,1,orange
5021,7.62,48.40572205,-122.6449002,0.52,1,orange
5024,8.59,48.40572205,-122.6449002,0.52,1,orange
5027,0.34,48.40572205,-122.6449002,0.52,0,blue
5030,9.37,48.40572205,-122.6449002,0.62,1,orange
5033,7.41,48.40572205,-122.6449002,0.62,1,orange
5036,7.92,48.40572205,-122.6449002,0.62,1,orange
5039,0.73,48.40572205,-122.6449002,0.62,0,blue
5042,9.67,48.40572205,-122.6449002,0.71,1,orange
5045,6.68,48.40572205,-122.6449002,0.71,1,orange
5048,7.62,48.40572205,-122.6449002,0.71,1,orange
5051,0.89,48.40572205,-122.6449002,0.71,0,blue
5054,9.85,48.40572205,-122.6449002,0.79,1,orange
5057,5.9,48.40572205,-122.6449002,0.79,1,orange
5060,7.69,48.40572205,-122.6449002,0.79,1,orange
5063,0.92,48.40572205,-122.6449002,0.79,0,blue
5066,9.9,48.40572205,-122.6449002,0.87,1,orange
5069,5.17,48.40572205,-122.6449002,0.87,1,orange
5072,7.94,48.40572205,-122.6449002,0.87,1,orange
5075,1.0,48.40572205,-122.6449002,0.87,0,blue
5078,9.86,48.40572205,-122.6449002,0.92,1,orange
5081,4.49,48.40572205,-122.6449002,0.92,0,blue
5084,8.21,48.40572205,-122.6449002,0.92,1,orange
5087,1.23,48.40572205,-122.6449002,0.92,0,blue
5090,9.8,48.40572205,-122.6449002,0.97,1,orange
5093,3.78,48.40572205,-122.6449002,0.97,0,blue
5096,8.45,48.40572205,-122.6449002,0.97,1,orange
5099,1.67,48.40572205,-122.6449002,0.97,0,blue
5102,9.79,48.40572205,-122.6449002,0.99,1,orange
5105,3.02,48.40572205,-122.6449002,0.99,0,blue
5108,8.66,48.40572205,-122.6449002,0.99,1,orange
5111,2.29,48.40572205,-122.6449002,1.0,0,blue
5114,9.82,48.40572205,-122.6449002,1.0,1,orange
5117,2.21,48.40572205,-122.6449002,1.0,0,blue
5120,8.85,48.40572205,-122.6449002,1.0,1,orange
5123,3.06,48.40572205,-122.6449002,0.99,0,blue
5126,9.83,48.40572205,-122.6449002,0.99,1,orange
5129,1.4,48.40572205,-122.6449002,0.99,0,blue
5132,9.04,48.40572205,-122.6449002,0.99,1,orange
5135,3.94,48.40572205,-122.6449002,0.96,0,blue
5138,9.77,48.40572205,-122.6449002,0.96,1,orange
5141,0.68,48.40572205,-122.6449002,0.96,0,blue
5144,9.19,48.40572205,-122.6449002,0.96,1,orange
5147,4.86,48.40572205,-122.6449002,0.92,1,orange
5150,9.61,48.40572205,-122.6449002,0.92,1,orange
5153,0.12,48.40572205,-122.6449002,0.92,0,blue
5156,9.26,48.40572205,-122.6449002,0.92,1,orange
5159,5.77,48.40572205,-122.6449002,0.86,1,orange
5162,9.37,48.40572205,-122.6449002,0.86,1,orange
5165,-0.24,48.40572205,-122.6449002,0.86,0,blue
5168,9.23,48.40572205,-122.6449002,0.86,1,orange
5171,6.63,48.40572205,-122.6449002,0.78,1,orange
5174,9.08,48.40572205,-122.6449002,0.78,1,orange
5177,-0.36,48.40572205,-122.6449002,0.78,0,blue
5180,9.09,48.40572205,-122.6449002,0.78,1,orange
5183,7.39,48.40572205,-122.6449002,0.69,1,orange
5186,8.75,48.40572205,-122.6449002,0.69,1,orange
5189,-0.31,48.40572205,-122.6449002,0.69,0,blue
5192,8.96,48.40572205,-122.6449002,0.69,1,orange
5195,7.94,48.40572205,-122.6449002,0.59,1,orange
5198,8.38,48.40572205,-122.6449002,0.59,1,orange
5201,-0.17,48.40572205,-122.6449002,0.59,0,blue
5204,9.0,48.40572205,-122.6449002,0.48,1,orange
5207,8.04,48.40572205,-122.6449002,0.48,1,orange
5210,7.97,48.40572205,-122.6449002,0.48,1,orange
5213,-0.09,48.40572205,-122.6449002,0.48,0,blue
5216,9.27,48.40572205,-122.6449002,0.37,1,orange
5219,7.48,48.40572205,-122.6449002,0.37,1,orange
5222,7.75,48.40572205,-122.6449002,0.37,1,orange
5225,-0.12,48.40572205,-122.6449002,0.37,0,blue
5228,9.61,48.40572205,-122.6449002,0.26,1,orange
5231,6.48,48.40572205,-122.6449002,0.26,1,orange
5234,7.93,48.40572205,-122.6449002,0.26,1,orange
5237,-0.16,48.40572205,-122.6449002,0.26,0,blue
5240,9.95,48.40572205,-122.6449002,0.17,1,orange
5243,5.16,48.40572205,-122.6449002,0.17,1,orange
5246,8.39,48.40572205,-122.6449002,0.17,1,orange
5249,-0.01,48.40572205,-122.6449002,0.17,0,blue
5252,10.28,48.40572205,-122.6449002,0.09,1,orange
5255,3.62,48.40572205,-122.6449002,0.09,0,blue
5258,8.94,48.40572205,-122.6449002,0.09,1,orange
5261,0.49,48.40572205,-122.6449002,0.09,0,blue
5264,10.57,48.40572205,-122.6449002,0.03,1,orange
5267,1.98,48.40572205,-122.6449002,0.03,0,blue
5270,9.47,48.40572205,-122.6449002,0.03,1,orange
5273,1.35,48.40572205,-122.6449002,0.03,0,blue
5276,10.79,48.40572205,-122.6449002,0.0,1,orange
5279,0.43,48.40572205,-122.6449002,0.0,0,blue
5282,9.9,48.40572205,-122.6449002,0.0,1,orange
5285,2.48,48.40572205,-122.6449002,0.0,0,blue
5288,10.87,48.40572205,-122.6449002,0.0,1,orange
5291,-0.85,48.40572205,-122.6449002,0.0,0,blue
5294,10.18,48.40572205,-122.6449002,0.0,1,orange
5297,3.74,48.40572205,-122.6449002,0.04,0,blue
5300,10.76,48.40572205,-122.6449002,0.04,1,orange
5303,-1.7,48.40572205,-122.6449002,0.04,0,blue
5306,10.31,48.40572205,-122.6449002,0.04,1,orange
5309,4.96,48.40572205,-122.6449002,0.09,1,orange
5312,10.43,48.40572205,-122.6449002,0.09,1,orange
5315,-2.04,48.40572205,-122.6449002,0.09,0,blue
5318,10.27,48.40572205,-122.6449002,0.09,1,orange
5321,6.02,48.40572205,-122.6449002,0.17,1,orange
5324,9.88,48.40572205,-122.6449002,0.17,1,orange
5327,-1.87,48.40572205,-122.6449002,0.17,0,blue
5330,10.08,48.40572205,-122.6449002,0.17,1,orange
5333,6.81,48.40572205,-122.6449002,0.26,1,orange
5336,9.15,48.40572205,-122.6449002,0.26,1,orange
5339,-1.28,48.40572205,-122.6449002,0.26,0,blue
5342,9.81,48.40572205,-122.6449002,0.26,1,orange
5345,7.23,48.40572205,-122.6449002,0.35,1,orange
5348,8.33,48.40572205,-122.6449002,0.35,1,orange
5351,-0.44,48.40572205,-122.6449002,0.35,0,blue
5354,9.59,48.40572205,-122.6449002,0.45,1,orange
5357,7.11,48.40572205,-122.6449002,0.45,1,orange
5360,7.52,48.40572205,-122.6449002,0.45,1,orange
5363,0.45,48.40572205,-122.6449002,0.45,0,blue
5366,9.51,48.40572205,-122.6449002,0.55,1,orange
5369,6.42,48.40572205,-122.6449002,0.55,1,orange
5372,6.94,48.40572205,-122.6449002,0.55,1,orange
5375,1.19,48.40572205,-122.6449002,0.55,0,blue
5378,9.51,48.40572205,-122.6449002,0.65,1,orange
5381,5.53,48.40572205,-122.6449002,0.65,1,orange
5384,6.76,48.40572205,-122.6449002,0.65,1,orange
5387,1.71,48.40572205,-122.6449002,0.65,0,blue
5390,9.53,48.40572205,-122.6449002,0.74,1,orange
5393,4.62,48.40572205,-122.6449002,0.74,1,orange
5396,6.96,48.40572205,-122.6449002,0.74,1,orange
5399,2.1,48.40572205,-122.6449002,0.74,0,blue
5402,9.52,48.40572205,-122.6449002,0.82,1,orange
5405,3.72,48.40572205,-122.6449002,0.82,0,blue
5408,7.36,48.40572205,-122.6449002,0.82,1,orange
5411,2.52,48.40572205,-122.6449002,0.82,0,blue
5414,9.51,48.40572205,-122.6449002,0.88,1,orange
5417,2.83,48.40572205,-122.6449002,0.88,0,blue
5420,7.81,48.40572205,-122.6449002,0.88,1,orange
5423,3.06,48.40572205,-122.6449002,0.88,0,blue
5426,9.51,48.40572205,-122.6449002,0.94,1,orange
5429,1.94,48.40572205,-122.6449002,0.94,0,blue
5432,8.28,48.40572205,-122.6449002,0.94,1,orange
5435,3.73,48.40572205,-122.6449002,0.94,0,blue
5438,9.52,48.40572205,-122.6449002,0.97,1,orange
5441,1.04,48.40572205,-122.6449002,0.97,0,blue
5444,8.74,48.40572205,-122.6449002,0.97,1,orange
5447,4.48,48.40572205,-122.6449002,0.97,0,blue
5450,9.5,48.40572205,-122.6449002,1.0,1,orange
5453,0.18,48.40572205,-122.6449002,1.0,0,blue
5456,9.17,48.40572205,-122.6449002,1.0,1,orange
5459,5.23,48.40572205,-122.6449002,1.0,1,orange
5462,9.44,48.40572205,-122.6449002,1.0,1,orange
5465,-0.57,48.40572205,-122.6449002,1.0,0,blue
5468,9.54,48.40572205,-122.6449002,1.0,1,orange
5471,5.94,48.40572205,-122.6449002,0.98,1,orange
5474,9.31,48.40572205,-122.6449002,0.98,1,orange
5477,-1.16,48.40572205,-122.6449002,0.98,0,blue
5480,9.81,48.40572205,-122.6449002,0.98,1,orange
5483,6.56,48.40572205,-122.6449002,0.95,1,orange
5486,9.13,48.40572205,-122.6449002,0.95,1,orange
5489,-1.52,48.40572205,-122.6449002,0.95,0,blue
5492,9.94,48.40572205,-122.6449002,0.95,1,orange
5495,7.07,48.40572205,-122.6449002,0.89,1,orange
5498,8.92,48.40572205,-122.6449002,0.89,1,orange
5501,-1.65,48.40572205,-122.6449002,0.89,0,blue
5504,9.92,48.40572205,-122.6449002,0.89,1,orange
5507,7.47,48.40572205,-122.6449002,0.82,1,orange
5510,8.65,48.40572205,-122.6449002,0.82,1,orange
5513,-1.54,48.40572205,-122.6449002,0.82,0,blue
5516,9.8,48.40572205,-122.6449002,0.82,1,orange
5519,7.7,48.40572205,-122.6449002,0.73,1,orange
5522,8.3,48.40572205,-122.6449002,0.73,1,orange
5525,-1.23,48.40572205,-122.6449002,0.73,0,blue
5528,9.68,48.40572205,-122.6449002,0.73,1,orange
5531,7.64,48.40572205,-122.6449002,0.63,1,orange
5534,7.83,48.40572205,-122.6449002,0.63,1,orange
5537,-0.75,48.40572205,-122.6449002,0.63,0,blue
5540,9.67,48.40572205,-122.6449002,0.52,1,orange
5543,7.11,48.40572205,-122.6449002,0.52,1,orange
5546,7.33,48.40572205,-122.6449002,0.52,1,orange
5549,-0.18,48.40572205,-122.6449002,0.52,0,blue
5552,9.8,48.40572205,-122.6449002,0.4,1,orange
5555,6.05,48.40572205,-122.6449002,0.4,1,orange
5558,7.09,48.40572205,-122.6449002,0.4,1,orange
5561,0.47,48.40572205,-122.6449002,0.4,0,blue
5564,10.01,48.40572205,-122.6449002,0.29,1,orange
5567,4.6,48.40572205,-122.6449002,0.29,0,blue
