,Dive_Site,Current_Speed_(knots),Moon Illuminated
5559,Deception Pass,4.5,0.4
5562,Deception Pass,4.8,0.4
5565,Deception Pass,5.9,0.29
5568,Deception Pass,3.3,0.29
5571,Deception Pass,4.7,0.29
5574,Deception Pass,4.8,0.29
5577,Deception Pass,6.6,0.19
5580,Deception Pass,4.4,0.19
5583,Deception Pass,5.3,0.19
5586,Deception Pass,5.1,0.19
5589,Deception Pass,7.2,0.11
5592,Deception Pass,5.2,0.11
5595,Deception Pass,5.9,0.11
5598,Deception Pass,5.6,0.11
5601,Deception Pass,7.7,0.05
5604,Deception Pass,5.6,0.05
5607,Deception Pass,6.2,0.05
5610,Deception Pass,5.9,0.01
5613,Deception Pass,8.0,0.01
5616,Deception Pass,5.8,0.01
5619,Deception Pass,6.2,0.01
5622,Deception Pass,5.8,0.0
5625,Deception Pass,8.1,0.0
5628,Deception Pass,5.9,0.0
5631,Deception Pass,6.1,0.0
5634,Deception Pass,5.4,0.02
5637,Deception Pass,8.0,0.02
5640,Deception Pass,6.0,0.02
5643,Deception Pass,5.9,0.02
5646,Deception Pass,4.8,0.06
5649,Deception Pass,7.7,0.06
5652,Deception Pass,5.9,0.06
5655,Deception Pass,5.7,0.06
5658,Deception Pass,4.0,0.13
5661,Deception Pass,7.1,0.13
5664,Deception Pass,5.6,0.13
5667,Deception Pass,5.4,0.13
5670,Deception Pass,3.1,0.21
5673,Deception Pass,6.2,0.21
5676,Deception Pass,5.0,0.21
5679,Deception Pass,5.1,0.3
5682,Deception Pass,2.4,0.3
5685,Deception Pass,5.1,0.3
5688,Deception Pass,4.3,0.3
5691,Deception Pass,4.9,0.39
5693,Deception Pass,1.9,0.39
5697,Deception Pass,3.9,0.39
5700,Deception Pass,3.5,0.39
5703,Deception Pass,4.8,0.49
5706,Deception Pass,1.9,0.49
5709,Deception Pass,3.0,0.49
5712,Deception Pass,2.9,0.49
5715,Deception Pass,4.7,0.58
5718,Deception Pass,2.3,0.58
5721,Deception Pass,2.9,0.58
5724,Deception Pass,2.6,0.58
5727,Deception Pass,4.7,0.67
5730,Deception Pass,2.9,0.67
5733,Deception Pass,3.4,0.67
5736,Deception Pass,2.7,0.67
5739,Deception Pass,4.9,0.76
5742,Deception Pass,3.4,0.76
5745,Deception Pass,4.0,0.76
5748,Deception Pass,3.1,0.76
5751,Deception Pass,5.4,0.83
5754,Deception Pass,3.8,0.83
5757,Deception Pass,4.6,0.83
5760,Deception Pass,3.7,0.83
5763,Deception Pass,6.0,0.9
5766,Deception Pass,4.3,0.9
5769,Deception Pass,4.9,0.9
5772,Deception Pass,4.3,0.9
